time;V(1);V(2)
1.427006803;-0.107377371;-0.107352505
1.427029478;-0.100605104;-0.100577881
1.427052154;-0.093437587;-0.093408164
1.427074830;-0.085902995;-0.085871540
1.427097506;-0.078030916;-0.077997603
1.427120181;-0.069852268;-0.069817279
1.427142857;-0.061399204;-0.061362727
1.427165533;-0.052704921;-0.052667152
1.427188209;-0.043803574;-0.043764711
1.427210884;-0.034730141;-0.034690389
1.427233560;-0.025520263;-0.025479829
1.427256236;-0.016210126;-0.016169219
1.427278912;-0.006836304;-0.006795137
1.427301587;0.002564376;0.002605590
1.427324263;0.011954981;0.011996030
1.427346939;0.021298618;0.021339289
1.427369615;0.030558581;0.030598663
1.427392290;0.039698490;0.039737775
1.427414966;0.048682433;0.048720714
1.427437642;0.057475124;0.057512201
1.427460317;0.066042016;0.066077692
1.427482993;0.074349444;0.074383527
1.427505669;0.082364779;0.082397085
1.427528345;0.090056529;0.090086879
1.427551020;0.097394482;0.097422706
1.427573696;0.104349798;0.104375734
1.427596372;0.110895163;0.110918658
1.427619048;0.117004851;0.117025762
1.427641723;0.122654873;0.122673066
1.427664399;0.127823018;0.127838371
1.427687075;0.132488991;0.132501393
1.427709751;0.136634465;0.136643815
1.427732426;0.140243123;0.140249334
1.427755102;0.143300840;0.143303835
1.427777778;0.145795575;0.145795293
1.427800454;0.147717508;0.147713898
1.427823129;0.149059116;0.149052141
1.427845805;0.149815122;0.149804759
1.427868481;0.149982548;0.149968786
1.427891156;0.149560736;0.149543579
1.427913832;0.148551357;0.148530820
1.427936508;0.146958373;0.146934486
1.427959184;0.144788044;0.144760849
1.427981859;0.142048876;0.142018431
1.428004535;0.138751660;0.138718031
1.428027211;0.134909313;0.134872582
1.428049887;0.130536959;0.130497220
1.428072562;0.125651781;0.125609138
1.428095238;0.120272946;0.120227516
1.428117914;0.114421600;0.114373510
1.428140590;0.108120735;0.108070122
1.428163265;0.101395093;0.101342106
1.428185941;0.094271107;0.094215904
1.428208617;0.086776756;0.086719501
1.428231293;0.078941497;0.078882364
1.428253968;0.070796092;0.070735263
1.428276644;0.062372557;0.062310220
1.428299320;0.053703979;0.053640327
1.428321995;0.044824420;0.044759652
1.428344671;0.035768756;0.035703076
1.428367347;0.026572573;0.026506187
1.428390023;0.017271990;0.017205109
1.428412698;0.007903554;0.007836389
1.428435374;-0.001495933;-0.001563169
1.428458050;-0.010889543;-0.010956637
1.428480726;-0.020240371;-0.020307111
1.428503401;-0.029511683;-0.029577857
1.428526077;-0.038667053;-0.038732453
1.428548753;-0.047670508;-0.047734928
1.428571429;-0.056486687;-0.056549924
1.428594104;-0.065080944;-0.065142801
1.428616780;-0.073419530;-0.073479815
1.428639456;-0.081469658;-0.081528186
1.428662132;-0.089199726;-0.089256317
1.428684807;-0.096579364;-0.096633848
1.428707483;-0.103579575;-0.103631789
1.428730159;-0.110172839;-0.110222628
1.428752834;-0.116333287;-0.116380507
1.428775510;-0.122036691;-0.122081207
1.428798186;-0.127260661;-0.127302350
1.428820862;-0.131984659;-0.132023407
1.428843537;-0.136190123;-0.136225830
1.428866213;-0.139860560;-0.139893136
1.428888889;-0.142981515;-0.143010884
1.428911565;-0.145540756;-0.145566853
1.428934240;-0.147528208;-0.147550982
1.428956916;-0.148936064;-0.148955476
1.428979592;-0.149758812;-0.149774837
1.429002268;-0.149993201;-0.150005827
1.429024943;-0.149638324;-0.149647553
1.429047619;-0.148695551;-0.148701397
1.429070295;-0.147168608;-0.147171099
1.429092971;-0.145063499;-0.145062677
1.429115646;-0.142388465;-0.142384384
1.429138322;-0.139154040;-0.139146767
1.429160998;-0.135372935;-0.135362550
1.429183673;-0.131059991;-0.131046586
1.429206349;-0.126232151;-0.126215828
1.429229025;-0.120908390;-0.120889266
1.429251701;-0.115109614;-0.115087814
1.429274376;-0.108858614;-0.108834275
1.429297052;-0.102179939;-0.102153208
1.429319728;-0.095099837;-0.095070870
1.429342404;-0.087646119;-0.087615081
1.429365079;-0.079848067;-0.079815131
1.429387755;-0.071736324;-0.071701670
1.429410431;-0.063342747;-0.063306562
1.429433107;-0.054700316;-0.054662793
1.429455782;-0.045842985;-0.045804324
1.429478458;-0.036805556;-0.036765959
1.429501134;-0.027623528;-0.027583201
1.429523810;-0.018332978;-0.018292130
1.429546485;-0.008970402;-0.008929246
1.429569161;0.000427415;0.000468667
1.429591837;0.009823554;0.009864689
1.429614512;0.019181099;0.019221904
1.429637188;0.028463288;0.028503552
1.429659864;0.037633651;0.037673164
1.429682540;0.046656168;0.046694725
1.429705215;0.055495386;0.055532784
1.429727891;0.064116580;0.064152621
1.429750567;0.072485884;0.072520375
1.429773243;0.080570411;0.080603167
1.429795918;0.088338401;0.088369241
1.429818594;0.095759344;0.095788096
1.429841270;0.102804087;0.102830586
1.429863946;0.109444936;0.109469029
1.429886621;0.115655816;0.115677356
1.429909297;0.121412319;0.121431170
1.429931973;0.126691839;0.126707878
1.429954649;0.131473622;0.131486733
1.429977324;0.135738898;0.135748979
1.430000000;0.139470890;0.139477851
1.430022676;0.142654950;0.142658712
1.430045351;0.145278562;0.145279059
1.430068027;0.147331429;0.147328608
1.430090703;0.148805475;0.148799297
1.430113379;0.149694918;0.149685356
1.430136054;0.149996256;0.149983297
1.430158730;0.149708299;0.149691941
1.430181406;0.148832192;0.148812450
1.430204082;0.147371378;0.147348279
1.430226757;0.145331595;0.145305177
1.430249433;0.142720842;0.142691160
1.430272109;0.139549388;0.139516506
1.430294785;0.135829690;0.135793686
1.430317460;0.131576364;0.131537329
1.430340136;0.126806115;0.126764151
1.430362812;0.121537688;0.121492910
1.430385488;0.115791780;0.115744312
1.430408163;0.109590966;0.109540944
1.430430839;0.102959608;0.102907177
1.430453515;0.095923747;0.095869062
1.430476190;0.088511036;0.088454262
1.430498866;0.080750601;0.080691909
1.430521542;0.072672914;0.072612483
1.430544218;0.064309719;0.064247737
1.430566893;0.055693875;0.055630534
1.430589569;0.046859231;0.046794728
1.430612245;0.037840487;0.037775026
1.430634921;0.028673085;0.028606871
1.430657596;0.019393035;0.019326278
1.430680272;0.010036796;0.009969706
1.430702948;0.000641125;0.000573916
1.430725624;-0.008757064;-0.008824180
1.430748299;-0.018120849;-0.018187659
1.430770975;-0.027413445;-0.027479737
1.430793651;-0.036598343;-0.036663908
1.430816327;-0.045639456;-0.045704087
1.430839002;-0.054501265;-0.054564758
1.430861678;-0.063148960;-0.063211118
1.430884354;-0.071548564;-0.071609194
1.430907029;-0.079667073;-0.079725987
1.430929705;-0.087472598;-0.087529615
1.430952381;-0.094934473;-0.094989421
1.430975057;-0.102023382;-0.102076096
1.430997732;-0.108711474;-0.108761798
1.431020408;-0.114972473;-0.115020259
1.431043084;-0.120781791;-0.120826903
1.431065760;-0.126116594;-0.126158906
1.431088435;-0.130955908;-0.130995304
1.431111111;-0.135280758;-0.135317135
1.431133787;-0.139074141;-0.139107407
1.431156463;-0.142321127;-0.142351202
1.431179138;-0.145008991;-0.145035807
1.431201814;-0.147127168;-0.147150672
1.431224490;-0.148667314;-0.148687463
1.431247166;-0.149623408;-0.149640175
1.431269841;-0.149991681;-0.150005051
1.431292517;-0.149770688;-0.149780658
1.431315193;-0.148961277;-0.148967860
1.431337868;-0.147566667;-0.147569889
1.431360544;-0.145592313;-0.145592210
1.431383220;-0.143045962;-0.143042587
1.431405896;-0.139937643;-0.139931059
1.431428571;-0.136279544;-0.136269829
1.431451247;-0.132086060;-0.132073302
1.431473923;-0.127373641;-0.127357942
1.431496599;-0.122160823;-0.122142296
1.431519274;-0.116468074;-0.116446841
1.431541950;-0.110317759;-0.110293955
1.431564626;-0.103734039;-0.103707809
1.431587302;-0.096742783;-0.096714280
1.431609977;-0.089371459;-0.089340848
1.431632653;-0.081649014;-0.081616464
1.431655329;-0.073605814;-0.073571505
1.431678005;-0.065273427;-0.065237544
1.431700680;-0.056684609;-0.056647344
1.431723356;-0.047873095;-0.047834645
1.431746032;-0.038873499;-0.038834066
1.431768707;-0.029721187;-0.029680978
1.431791383;-0.020452106;-0.020411329
1.431814059;-0.011102679;-0.011061545
1.431836735;-0.001709632;-0.001668354
1.431859410;0.007690132;0.007731342
1.431882086;0.017059683;0.017100611
1.431904762;0.026362214;0.026402648
1.431927438;0.035561174;0.035600906
1.431950113;0.044620426;0.044659247
1.431972789;0.053504380;0.053542089
1.431995465;0.062178137;0.062214533
1.432018141;0.070607610;0.070642499
1.432040816;0.078759697;0.078792893
1.432063492;0.086602355;0.086633675
1.432086168;0.094104775;0.094134046
1.432108844;0.101237507;0.101264562
1.432131519;0.107972500;0.107997182
1.432154195;0.114283304;0.114305466
1.432176871;0.120145126;0.120164629
1.432199546;0.125534942;0.125551660
1.432222222;0.130431565;0.130445380
1.432244898;0.134815764;0.134826572
1.432267574;0.138670315;0.138678022
1.432290249;0.141980094;0.141984618
1.432312925;0.144732076;0.144733349
1.432335601;0.146915429;0.146913396
1.432358277;0.148521629;0.148516247
1.432380952;0.149544315;0.149535554
1.432403628;0.149979508;0.149967350
1.432426304;0.149825464;0.149809907
1.432448980;0.149082808;0.149063863
1.432471655;0.147754463;0.147732153
1.432494331;0.145845642;0.145820004
1.432517007;0.143363826;0.143334910
1.432539683;0.140318791;0.140286658
1.432562358;0.136722500;0.136687228
1.432585034;0.132589051;0.132550726
1.432607710;0.127934716;0.127893438
1.432630385;0.122777761;0.122733642
1.432653061;0.117138461;0.117091622
1.432675737;0.111038950;0.110989525
1.432698413;0.104503218;0.104451351
1.432721088;0.097556910;0.097502753
1.432743764;0.090227339;0.090171054
1.432766440;0.082543308;0.082485065
1.432789116;0.074534976;0.074474954
1.432811791;0.066233828;0.066172212
1.432834467;0.057672465;0.057609445
1.432857143;0.048884527;0.048820300
1.432879819;0.039904541;0.039839309
1.432902494;0.030767780;0.030701748
1.432925170;0.021510143;0.021443520
1.432947846;0.012168001;0.012100997
1.432970522;0.002778053;0.002710882
1.432993197;-0.006622808;-0.006689934
1.433015873;-0.015997651;-0.016064519
1.433038549;-0.025309644;-0.025376042
1.433061224;-0.034522201;-0.034587920
1.433083900;-0.043599132;-0.043663964
1.433106576;-0.052504782;-0.052568523
1.433129252;-0.061204153;-0.061266603
1.433151927;-0.069663078;-0.069724042
1.433174603;-0.077848312;-0.077907603
1.433197279;-0.085727715;-0.085785150
1.433219955;-0.093270308;-0.093325712
1.433242630;-0.100446491;-0.100499697
1.433265306;-0.107228033;-0.107278884
1.433287982;-0.113588323;-0.113636669
1.433310658;-0.119502365;-0.119548067
1.433333333;-0.124946912;-0.124989841
1.433356009;-0.129900590;-0.129940629
1.433378685;-0.134343930;-0.134380973
1.433401361;-0.138259485;-0.138293436
1.433424036;-0.141631847;-0.141662623
1.433446712;-0.144447798;-0.144475330
1.433469388;-0.146696252;-0.146720483
1.433492063;-0.148368389;-0.148389274
1.433514739;-0.149457637;-0.149475145
1.433537415;-0.149959704;-0.149973817
1.433560091;-0.149872654;-0.149883367
1.433582766;-0.149196769;-0.149204091
1.433605442;-0.147934762;-0.147938715
1.433628118;-0.146091564;-0.146092183
1.433650794;-0.143674418;-0.143671752
1.433673469;-0.140692830;-0.140686940
1.433696145;-0.137158497;-0.137149457
1.433718821;-0.133085321;-0.133073218
1.433741497;-0.128489278;-0.128474208
1.433764172;-0.123388469;-0.123370545
1.433786848;-0.117802894;-0.117782235
1.433809524;-0.111754515;-0.111731254
1.433832200;-0.105267077;-0.105241356
1.433854875;-0.098366089;-0.098338060
1.433877551;-0.091078650;-0.091048474
1.433900227;-0.083433398;-0.083401244
1.433922902;-0.075460359;-0.075426404
1.433945578;-0.067190868;-0.067155297
1.433968254;-0.058657395;-0.058620397
1.433990930;-0.049893481;-0.049855254
1.434013605;-0.040933552;-0.040894295
1.434036281;-0.031812812;-0.031772732
1.434058957;-0.022567085;-0.022526389
1.434081633;-0.013232702;-0.013191601
1.434104308;-0.003846332;-0.003805039
1.434126984;0.005555149;0.005596423
1.434149660;0.014934806;0.014975846
1.434172336;0.024255790;0.024296384
1.434195011;0.033481479;0.033521418
1.434217687;0.042575635;0.042614711
1.434240363;0.051502519;0.051540527
1.434263039;0.060227068;0.060263809
1.434285714;0.068715008;0.068750287
1.434308390;0.076932987;0.076966613
1.434331066;0.084848726;0.084880517
1.434353741;0.092431111;0.092460892
1.434376417;0.099650380;0.099677981
1.434399093;0.106478137;0.106503401
1.434421769;0.112887592;0.112910369
1.434444444;0.118853540;0.118873689
1.434467120;0.124352550;0.124369940
1.434489796;0.129363029;0.129377543
1.434512472;0.133865288;0.133876817
1.434535147;0.137841623;0.137850071
1.434557823;0.141276419;0.141281702
1.434580499;0.144156205;0.144158252
1.434603175;0.146469627;0.146468379
1.434625850;0.148207625;0.148203036
1.434648526;0.149363375;0.149355413
1.434671202;0.149932302;0.149920947
1.434693878;0.149912216;0.149897461
1.434716553;0.149303161;0.149285014
1.434739229;0.148107552;0.148086033
1.434761905;0.146330082;0.146305225
1.434784580;0.143977724;0.143949577
1.434807256;0.141059717;0.141028339
1.434829932;0.137587536;0.137552999
1.434852608;0.133574828;0.133537218
1.434875283;0.129037344;0.128996757
1.434897959;0.123992913;0.123949458
1.434920635;0.118461353;0.118415150
1.434943311;0.112464397;0.112415577
1.434965986;0.106025609;0.105974314
1.434988662;0.099170278;0.099116657
1.435011338;0.091925343;0.091869557
1.435034014;0.084319258;0.084261475
1.435056689;0.076381914;0.076322309
1.435079365;0.068144489;0.068083248
1.435102041;0.059639350;0.059576661
1.435124717;0.050899904;0.050835963
1.435147392;0.041960492;0.041895500
1.435170068;0.032856229;0.032790391
1.435192744;0.023622885;0.023556407
1.435215420;0.014296735;0.014229829
1.435238095;0.004914417;0.004847295
1.435260771;-0.004487207;-0.004554333
1.435283447;-0.013871203;-0.013938119
1.435306122;-0.023200703;-0.023267197
1.435328798;-0.032439056;-0.032504918
1.435351474;-0.041549968;-0.041614990
1.435374150;-0.050497639;-0.050561615
1.435396825;-0.059246924;-0.059309654
1.435419501;-0.067763451;-0.067824740
1.435442177;-0.076013749;-0.076073407
1.435464853;-0.083965421;-0.084023264
1.435487528;-0.091587219;-0.091643070
1.435510204;-0.098849201;-0.098902891
1.435532880;-0.105722838;-0.105774208
1.435555556;-0.112181123;-0.112230021
1.435578231;-0.118198687;-0.118244972
1.435600907;-0.123751883;-0.123795424
1.435623583;-0.128818897;-0.128859573
